refund_request_id,customer_id,label_simulated,requested_amount_paise,raw_score,calibrated_probability,stage_a_action,verification_result,posterior_probability,final_action,rules_score,logistic_score,order_id,original_captured_amount_paise,status,exceeds_original_captured_amount
rr_0006320,cus_90fbf655fe58d625,False,570151,0.1001960866082434,0.0392156862745098,AUTO_APPROVE,consistent,0.004432508937619314,AUTO_APPROVE,0.1,0.011815900742946214,ord_0031795,816000,captured,False
rr_0006337,cus_14ca5295a7faea88,False,856283,0.0001729058656883936,1e-06,AUTO_APPROVE,consistent,1e-06,AUTO_APPROVE,0.0,0.0003725815975591276,ord_0031886,2241300,captured,False
rr_0006340,cus_96045bcde49cc135,False,218467,9.049423748457768e-05,1e-06,AUTO_APPROVE,consistent,1e-06,AUTO_APPROVE,0.1,0.001411223884684061,ord_0031909,346800,captured,False
rr_0006343,cus_282b8132feb87c5c,False,1630772,0.0009923436506420332,1e-06,AUTO_APPROVE,consistent,1e-06,AUTO_APPROVE,0.15,0.10981355044896302,ord_0031936,3027400,captured,False
rr_0006345,cus_674fd9e1fcd39df6,False,2315393,0.02158646535938957,0.017857142857142856,AUTO_APPROVE,inconclusive,0.022222222222222223,AUTO_APPROVE,0.0,0.42986172983169674,ord_0031941,2337000,captured,False
rr_0006346,cus_05539aa3bc886428,False,3472749,0.017439009442648118,0.017857142857142856,AUTO_APPROVE,consistent,0.0019793465426276163,AUTO_APPROVE,0.0,0.009571556843761151,ord_0031942,4856400,captured,False
rr_0006347,cus_6216a6f950910c3e,False,3094289,0.008896207688887896,0.017104143664042136,AUTO_APPROVE,consistent,0.0018945899907631882,AUTO_APPROVE,0.0,0.003374855975477795,ord_0031952,4351300,captured,False
rr_0006348,cus_795bc5799dc98eaf,False,4007980,0.11486194361895571,0.0392156862745098,AUTO_APPROVE,consistent,0.004432508937619314,AUTO_APPROVE,0.0,0.03915336008475739,ord_0031953,4530100,captured,False
rr_0006358,cus_1d9bbd9145500343,False,3105466,0.00019701741461200235,1e-06,AUTO_APPROVE,consistent,1e-06,AUTO_APPROVE,0.0,0.0006141625834283208,ord_0032013,6122900,captured,False
rr_0006366,cus_53b19ae2dade97fb,False,193364,0.0002639371896843017,1e-06,AUTO_APPROVE,consistent,1e-06,AUTO_APPROVE,0.0,0.000272409818602633,ord_0032055,510000,captured,False
